"anio","mes","programa_nivel_beneficio","beneficio_percibido_pesos_constantes"
"2004","7","Pensiones no contributivas por vejez sin bonos","200753.23"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","286790.33"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","286790.33"
"2004","7","ProHuerta",
"2004","7","Programa de empleo comunitario",
"2004","7","Trabajo autogestionado",
"2004","7","Monotributo social",
"2004","7","Programa de recuperación productiva 1",
"2004","7","Jefes de hogar",
"2004","8","Pensiones no contributivas por invalidez con bonos","200063.82"
"2004","8","Pensiones no contributivas por invalidez sin bonos","200063.82"
"2004","8","Pensiones no contributivas por vejez con bonos","200063.82"
"2004","8","Pensiones no contributivas por vejez sin bonos","200063.82"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","285805.46"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","285805.46"
"2004","8","ProHuerta",
"2004","8","Programa de empleo comunitario",
"2004","8","Trabajo autogestionado",
"2004","8","Monotributo social",
"2004","8","Programa de recuperación productiva 1",
"2004","8","Jefes de hogar",
"2004","9","Pensiones no contributivas por invalidez con bonos","235508.03"
"2004","9","Pensiones no contributivas por invalidez sin bonos","235508.03"
"2004","9","Pensiones no contributivas por vejez con bonos","235508.03"
"2004","9","Pensiones no contributivas por vejez sin bonos","235508.03"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","336440.04"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","336440.04"
"2004","9","ProHuerta",
"2004","9","Programa de empleo comunitario",
"2004","9","Trabajo autogestionado",
"2004","9","Monotributo social",
"2004","9","Programa de recuperación productiva 1",
"2004","9","Jefes de hogar",
"2004","10","Pensiones no contributivas por invalidez con bonos","234581.94"
"2004","10","Pensiones no contributivas por invalidez sin bonos","234581.94"
"2004","10","Pensiones no contributivas por vejez con bonos","234581.94"
"2004","10","Pensiones no contributivas por vejez sin bonos","234581.94"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","335117.06"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","335117.06"
"2004","10","ProHuerta",
"2004","10","Programa de empleo comunitario",
"2004","10","Trabajo autogestionado",
"2004","10","Monotributo social",
"2004","10","Programa de recuperación productiva 1",
"2004","10","Jefes de hogar",
"2004","11","Pensiones no contributivas por invalidez con bonos","234581.94"
"2004","11","Pensiones no contributivas por invalidez sin bonos","234581.94"
"2004","11","Pensiones no contributivas por vejez con bonos","234581.94"
"2004","11","Pensiones no contributivas por vejez sin bonos","234581.94"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","335117.06"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","335117.06"
"2004","11","ProHuerta",
"2004","11","Programa de empleo comunitario",
"2004","11","Trabajo autogestionado",
"2004","11","Monotributo social",
"2004","11","Programa de recuperación productiva 1",
"2004","11","Jefes de hogar",
"2004","12","Pensiones no contributivas por invalidez con bonos","564738.85"
"2004","12","Pensiones no contributivas por invalidez sin bonos","348942.58"
"2004","12","Pensiones no contributivas por vejez con bonos","564738.85"
"2004","12","Pensiones no contributivas por vejez sin bonos","348942.58"
"2004","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","714285.67"
"2004","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","498489.4"
"2004","12","ProHuerta",
"2004","12","Programa de empleo comunitario",
"2004","12","Trabajo autogestionado",
"2004","12","Monotributo social",
"2004","12","Programa de recuperación productiva 1",
"2004","12","Jefes de hogar",
"2005","1","Pensiones no contributivas por invalidez con bonos","229234.56"
"2005","1","Pensiones no contributivas por invalidez sin bonos","229234.56"
"2005","1","Pensiones no contributivas por vejez con bonos","229234.56"
"2005","1","Pensiones no contributivas por vejez sin bonos","229234.56"
"2005","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","327477.94"
"2005","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","327477.94"
"2005","1","Prestaciones previsionales por moratoria previsional con bonos","327477.94"
"2005","1","Prestaciones previsionales por moratoria previsional sin bonos","327477.94"
"2005","1","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","327477.94"
"2005","1","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","327477.94"
"2005","1","ProHuerta",
"2005","1","Programa de empleo comunitario",
"2005","1","Trabajo autogestionado",
"2005","1","Monotributo social",
"2005","1","Programa de recuperación productiva 1",
"2005","1","Jefes de hogar",
"2005","2","Pensiones no contributivas por invalidez con bonos","227075.32"
"2005","2","Pensiones no contributivas por invalidez sin bonos","227075.32"
"2005","2","Pensiones no contributivas por vejez con bonos","227075.32"
"2005","2","Pensiones no contributivas por vejez sin bonos","227075.32"
"2005","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","324393.31"
"2005","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","324393.31"
"2005","2","Prestaciones previsionales por moratoria previsional con bonos","324393.31"
"2005","2","Prestaciones previsionales por moratoria previsional sin bonos","324393.31"
"2005","2","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","324393.31"
"2005","2","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","324393.31"
"2005","2","ProHuerta",
"2005","2","Programa de empleo comunitario",
"2005","2","Trabajo autogestionado",
"2005","2","Monotributo social",
"2005","2","Programa de recuperación productiva 1",
"2005","2","Jefes de hogar",
"2005","3","Pensiones no contributivas por invalidez con bonos","223627.13"
"2005","3","Pensiones no contributivas por invalidez sin bonos","223627.13"
"2005","3","Pensiones no contributivas por vejez con bonos","223627.13"
"2005","3","Pensiones no contributivas por vejez sin bonos","223627.13"
"2005","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","319467.33"
"2005","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","319467.33"
"2005","3","Prestaciones previsionales por moratoria previsional con bonos","319467.33"
"2005","3","Prestaciones previsionales por moratoria previsional sin bonos","319467.33"
"2005","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","319467.33"
"2005","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","319467.33"
"2005","3","ProHuerta",
"2005","3","Programa de empleo comunitario",
"2005","3","Trabajo autogestionado",
"2005","3","Monotributo social",
"2005","3","Programa de recuperación productiva 1",
"2005","3","Jefes de hogar",
"2005","4","Pensiones no contributivas por invalidez con bonos","222538.41"
"2005","4","Pensiones no contributivas por invalidez sin bonos","222538.41"
"2005","4","Pensiones no contributivas por vejez con bonos","222538.41"
"2005","4","Pensiones no contributivas por vejez sin bonos","222538.41"
"2005","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","317912.01"
"2005","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","317912.01"
"2005","4","Prestaciones previsionales por moratoria previsional con bonos","317912.01"
"2005","4","Prestaciones previsionales por moratoria previsional sin bonos","317912.01"
"2005","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","317912.01"
"2005","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","317912.01"
"2005","4","ProHuerta",
"2005","4","Programa de empleo comunitario",
"2005","4","Trabajo autogestionado",
"2005","4","Monotributo social",
"2005","4","Programa de recuperación productiva 1",
"2005","4","Jefes de hogar",
"2005","5","Pensiones no contributivas por invalidez con bonos","221209.69"
"2005","5","Pensiones no contributivas por invalidez sin bonos","221209.69"
"2005","5","Pensiones no contributivas por vejez con bonos","221209.69"
"2005","5","Pensiones no contributivas por vejez sin bonos","221209.69"
"2005","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","316013.85"
"2005","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","316013.85"
"2005","5","Prestaciones previsionales por moratoria previsional con bonos","316013.85"
"2005","5","Prestaciones previsionales por moratoria previsional sin bonos","316013.85"
"2005","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","316013.85"
"2005","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","316013.85"
"2005","5","ProHuerta",
"2005","5","Programa de empleo comunitario",
"2005","5","Trabajo autogestionado",
"2005","5","Monotributo social",
"2005","5","Programa de recuperación productiva 1",
"2005","5","Jefes de hogar",
"2005","6","Pensiones no contributivas por invalidez con bonos","328797.48"
"2005","6","Pensiones no contributivas por invalidez sin bonos","328797.48"
"2005","6","Pensiones no contributivas por vejez con bonos","328797.48"
"2005","6","Pensiones no contributivas por vejez sin bonos","328797.48"
"2005","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","469710.69"
"2005","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","469710.69"
"2005","6","Prestaciones previsionales por moratoria previsional con bonos","469710.69"
"2005","6","Prestaciones previsionales por moratoria previsional sin bonos","469710.69"
"2005","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","313140.46"
"2005","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","313140.46"
"2005","6","ProHuerta",
"2005","6","Programa de empleo comunitario",
"2005","6","Trabajo autogestionado",
"2005","6","Monotributo social",
"2005","6","Programa de recuperación productiva 1",
"2005","6","Jefes de hogar",
"2005","7","Pensiones no contributivas por invalidez con bonos","246616.24"
"2005","7","Pensiones no contributivas por invalidez sin bonos","246616.24"
"2005","7","Pensiones no contributivas por vejez con bonos","246616.24"
"2005","7","Pensiones no contributivas por vejez sin bonos","246616.24"
"2005","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","352308.91"
"2005","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","352308.91"
"2005","7","Prestaciones previsionales por moratoria previsional con bonos","352308.91"
"2005","7","Prestaciones previsionales por moratoria previsional sin bonos","352308.91"
"2005","7","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","352308.91"
"2005","7","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","352308.91"
"2005","7","ProHuerta",
"2005","7","Programa de empleo comunitario",
"2005","7","Trabajo autogestionado",
"2005","7","Monotributo social",
"2005","7","Programa de recuperación productiva 1",
"2005","7","Jefes de hogar",
"2005","8","Pensiones no contributivas por invalidez con bonos","245541.29"
"2005","8","Pensiones no contributivas por invalidez sin bonos","245541.29"
"2005","8","Pensiones no contributivas por vejez con bonos","245541.29"
"2005","8","Pensiones no contributivas por vejez sin bonos","245541.29"
"2005","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","350773.27"
"2005","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","350773.27"
"2005","8","Prestaciones previsionales por moratoria previsional con bonos","350773.27"
"2005","8","Prestaciones previsionales por moratoria previsional sin bonos","350773.27"
"2005","8","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","350773.27"
"2005","8","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","350773.27"
"2005","8","ProHuerta",
"2005","8","Programa de empleo comunitario",
"2005","8","Trabajo autogestionado",
"2005","8","Monotributo social",
"2005","8","Programa de recuperación productiva 1",
"2005","8","Jefes de hogar",
"2005","9","Pensiones no contributivas por invalidez con bonos","242710.24"
"2005","9","Pensiones no contributivas por invalidez sin bonos","242710.24"
"2005","9","Pensiones no contributivas por vejez con bonos","242710.24"
"2005","9","Pensiones no contributivas por vejez sin bonos","242710.24"
"2005","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","346728.92"
"2005","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","346728.92"
"2005","9","Prestaciones previsionales por moratoria previsional con bonos","346728.92"
"2005","9","Prestaciones previsionales por moratoria previsional sin bonos","346728.92"
"2005","9","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","346728.92"
"2005","9","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","346728.92"
"2005","9","ProHuerta",
"2005","9","Programa de empleo comunitario",
"2005","9","Trabajo autogestionado",
"2005","9","Monotributo social",
"2005","9","Programa de recuperación productiva 1",
"2005","9","Jefes de hogar",
"2005","10","Pensiones no contributivas por invalidez con bonos","240839.53"
"2005","10","Pensiones no contributivas por invalidez sin bonos","240839.53"
"2005","10","Pensiones no contributivas por vejez con bonos","240839.53"
"2005","10","Pensiones no contributivas por vejez sin bonos","240839.53"
