"anio","mes","partida_ejecucion_mensual","ejecucion_mensual_millones_pesos_corrientes"
"2002","9","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.2334"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.2334"
"2002","9","Abordaje territorial","2.17101722"
"2002","9","Economía social","0.0084"
"2002","9","Asistencia a la actividad cooperativa y mutual","0.09382683"
"2002","9","Programa social agropecuario","0.67695314"
"2002","9","Acciones de empleo","0.0016086"
"2002","9","Acciones de capacitación laboral","0.08296638"
"2002","9","Jefes de hogar","310.85394879"
"2002","10","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","10","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","10","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","10","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.42"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.42"
"2002","10","Abordaje territorial","0.61534215"
"2002","10","Economía social","0.002"
"2002","10","Asistencia a la actividad cooperativa y mutual","0.00932683"
"2002","10","Programa social agropecuario","0.892539"
"2002","10","Acciones de empleo","-0.27438741"
"2002","10","Acciones de capacitación laboral","0.10441781"
"2002","10","Jefes de hogar","297.70475953"
"2002","11","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","11","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","11","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","11","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.53205"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.53205"
"2002","11","Abordaje territorial","7.28606649"
"2002","11","Economía social","0.0012"
"2002","11","Asistencia a la actividad cooperativa y mutual","0.14287083"
"2002","11","Programa social agropecuario","0.798889"
"2002","11","Acciones de empleo","0.22806025"
"2002","11","Acciones de capacitación laboral","0.03655"
"2002","11","Jefes de hogar","286.136654"
"2002","12","Pensiones no contributivas por invalidez sin bonos","12.4449885"
"2002","12","Pensiones no contributivas por invalidez con bonos","12.4449885"
"2002","12","Pensiones no contributivas por vejez sin bonos","6.5348325"
"2002","12","Pensiones no contributivas por vejez con bonos","6.5348325"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12.8712"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","12.8712"
"2002","12","Abordaje territorial","38.81892445"
"2002","12","Economía social","0.1058"
"2002","12","Asistencia a la actividad cooperativa y mutual","0.10319957"
"2002","12","Programa social agropecuario","1.85428962"
"2002","12","Acciones de empleo","-0.54485446"
"2002","12","Acciones de capacitación laboral","0.13376599"
"2002","12","Jefes de hogar","335.84300627"
"2003","1","Pensiones no contributivas por invalidez sin bonos","8.319801"
"2003","1","Pensiones no contributivas por invalidez con bonos","8.319801"
"2003","1","Pensiones no contributivas por vejez sin bonos","4.407018"
"2003","1","Pensiones no contributivas por vejez con bonos","4.407018"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.611165"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.611165"
"2003","1","Políticas alimentarias","0"
"2003","1","Abordaje territorial","0"
"2003","1","Economía social","0"
"2003","1","Asistencia a la actividad cooperativa y mutual","0"
"2003","1","Programa social agropecuario","0"
"2003","1","Acciones de empleo","0.00053025"
"2003","1","Acciones de capacitación laboral","0"
"2003","1","Jefes de hogar","0"
"2003","2","Pensiones no contributivas por invalidez sin bonos","8.320704"
"2003","2","Pensiones no contributivas por invalidez con bonos","8.320704"
"2003","2","Pensiones no contributivas por vejez sin bonos","4.407018"
"2003","2","Pensiones no contributivas por vejez con bonos","4.407018"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.629465"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.629465"
"2003","2","Políticas alimentarias","0"
"2003","2","Abordaje territorial","0.5194865"
"2003","2","Economía social","0"
"2003","2","Asistencia a la actividad cooperativa y mutual","0.083458"
"2003","2","Programa social agropecuario","1.65189163"
"2003","2","Acciones de empleo","24.79398"
"2003","2","Acciones de capacitación laboral","0.0614928"
"2003","2","Jefes de hogar","601.80784"
"2003","3","Pensiones no contributivas por invalidez sin bonos","8.378538"
"2003","3","Pensiones no contributivas por invalidez con bonos","8.378538"
"2003","3","Pensiones no contributivas por vejez sin bonos","4.407018"
"2003","3","Pensiones no contributivas por vejez con bonos","4.407018"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.698315"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.698315"
"2003","3","Políticas alimentarias","0"
"2003","3","Abordaje territorial","1.00031268"
"2003","3","Economía social","0.3040435"
"2003","3","Asistencia a la actividad cooperativa y mutual","0.172844"
"2003","3","Programa social agropecuario","1.78232437"
"2003","3","Acciones de empleo","122.6767605"
"2003","3","Acciones de capacitación laboral","0.197307"
"2003","3","Inclusión social","34.900084"
"2003","3","Jefes de hogar","200.29717"
"2003","4","Pensiones no contributivas por invalidez sin bonos","8.446452"
"2003","4","Pensiones no contributivas por invalidez con bonos","8.446452"
"2003","4","Pensiones no contributivas por vejez sin bonos","4.407018"
"2003","4","Pensiones no contributivas por vejez con bonos","4.407018"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.752915"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.752915"
"2003","4","Políticas alimentarias","0"
"2003","4","Abordaje territorial","0.72440031"
"2003","4","Economía social","0.0002"
"2003","4","Asistencia a la actividad cooperativa y mutual","0.043"
"2003","4","Programa social agropecuario","0.12303143"
"2003","4","Acciones de empleo","55.00053025"
"2003","4","Acciones de capacitación laboral","0.22402436"
"2003","4","Inclusión social","8.35397257"
"2003","4","Jefes de hogar","273.871828"
"2003","5","Pensiones no contributivas por invalidez sin bonos","8.508255"
"2003","5","Pensiones no contributivas por invalidez con bonos","8.508255"
"2003","5","Pensiones no contributivas por vejez sin bonos","4.407018"
"2003","5","Pensiones no contributivas por vejez con bonos","4.407018"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.804815"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.804815"
"2003","5","Políticas alimentarias","0"
"2003","5","Abordaje territorial","0.99109163"
"2003","5","Economía social","0.16396653"
"2003","5","Asistencia a la actividad cooperativa y mutual","0.1105015"
"2003","5","Programa social agropecuario","1.07446464"
"2003","5","Acciones de empleo","0.18993025"
"2003","5","Acciones de capacitación laboral","0.38812412"
"2003","5","Inclusión social","-3.71620123"
"2003","5","Jefes de hogar","331.723204"
"2003","6","Pensiones no contributivas por invalidez sin bonos","12.7676115"
"2003","6","Pensiones no contributivas por invalidez con bonos","12.7676115"
"2003","6","Pensiones no contributivas por vejez sin bonos","6.610527"
"2003","6","Pensiones no contributivas por vejez con bonos","6.610527"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","13.2252225"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","13.2252225"
"2003","6","Políticas alimentarias","0.52788"
"2003","6","Abordaje territorial","0.87926669"
"2003","6","Economía social","0"
"2003","6","Asistencia a la actividad cooperativa y mutual","0.0683645"
"2003","6","Programa social agropecuario","3.22255493"
"2003","6","Acciones de empleo","0.175037"
"2003","6","Acciones de capacitación laboral","0.21396618"
"2003","6","Inclusión social","8.49111153"
"2003","6","Jefes de hogar","334.571298"
"2003","7","Pensiones no contributivas por invalidez sin bonos","12.4782504"
"2003","7","Pensiones no contributivas por invalidez con bonos","12.4782504"
"2003","7","Pensiones no contributivas por vejez sin bonos","6.4636264"
"2003","7","Pensiones no contributivas por vejez con bonos","6.4636264"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12.9535486666667"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","12.9535486666667"
"2003","7","Políticas alimentarias","0"
"2003","7","Abordaje territorial","0.32621454"
"2003","7","Economía social","0"
"2003","7","Asistencia a la actividad cooperativa y mutual","0.0868299"
"2003","7","Programa social agropecuario","0.920305"
"2003","7","Acciones de empleo","0"
"2003","7","Acciones de capacitación laboral","0.4496356"
"2003","7","Inclusión social","0"
"2003","7","Jefes de hogar","335.918935"
"2003","8","Pensiones no contributivas por invalidez sin bonos","12.4724908"
"2003","8","Pensiones no contributivas por invalidez con bonos","12.4724908"
"2003","8","Pensiones no contributivas por vejez sin bonos","6.4636264"
"2003","8","Pensiones no contributivas por vejez con bonos","6.4636264"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12.9665286666667"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","12.9665286666667"
"2003","8","Políticas alimentarias","0"
"2003","8","Abordaje territorial","1.32525027"
"2003","8","Economía social","0.02515"
"2003","8","Asistencia a la actividad cooperativa y mutual","0.0870315"
"2003","8","Programa social agropecuario","1.65362855"
"2003","8","Acciones de empleo","0.025888"
"2003","8","Acciones de capacitación laboral","0.1033276"
"2003","8","Inclusión social","10.70081643"
"2003","8","Jefes de hogar","331.260191"
"2003","9","Pensiones no contributivas por invalidez sin bonos","12.5339368"
"2003","9","Pensiones no contributivas por invalidez con bonos","12.5339368"
"2003","9","Pensiones no contributivas por vejez sin bonos","6.4636264"
"2003","9","Pensiones no contributivas por vejez con bonos","6.4636264"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","13.0028286666667"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","13.0028286666667"
"2003","9","Políticas alimentarias","0"
"2003","9","Abordaje territorial","1.36229911"
"2003","9","Economía social","0.31238419"
"2003","9","Asistencia a la actividad cooperativa y mutual","0.120345"
"2003","9","Programa social agropecuario","5.64280295"
"2003","9","Acciones de empleo","0"
"2003","9","Acciones de capacitación laboral","0.33407963"
"2003","9","Inclusión social","28.61031848"
"2003","9","Jefes de hogar","331.202546"
"2003","10","Pensiones no contributivas por invalidez sin bonos","12.576102"
"2003","10","Pensiones no contributivas por invalidez con bonos","12.576102"
"2003","10","Pensiones no contributivas por vejez sin bonos","6.4636264"
"2003","10","Pensiones no contributivas por vejez con bonos","6.4636264"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","13.0554086666667"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","13.0554086666667"
"2003","10","Políticas alimentarias","0"
"2003","10","Abordaje territorial","1.16313628"
"2003","10","Economía social","0.017842"
"2003","10","Asistencia a la actividad cooperativa y mutual","0.049224"
"2003","10","Programa social agropecuario","0.719032"
"2003","10","Acciones de empleo","0.002852"
"2003","10","Acciones de capacitación laboral","0.53907858"
"2003","10","Inclusión social","18.07885766"
"2003","10","Jefes de hogar","330.889366"
"2003","11","Pensiones no contributivas por invalidez sin bonos","12.6014196"
"2003","11","Pensiones no contributivas por invalidez con bonos","12.6014196"
"2003","11","Pensiones no contributivas por vejez sin bonos","6.4636264"
"2003","11","Pensiones no contributivas por vejez con bonos","6.4636264"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","13.0853286666667"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","13.0853286666667"
"2003","11","Políticas alimentarias","0"
"2003","11","Abordaje territorial","2.00383359"
"2003","11","Economía social","0"
"2003","11","Asistencia a la actividad cooperativa y mutual","0.0444505"
"2003","11","Programa social agropecuario","1.831826"
"2003","11","Acciones de empleo","0"
"2003","11","Acciones de capacitación laboral","0.51800234"
"2003","11","Inclusión social","-0.00870008000000008"
"2003","11","Jefes de hogar","210.25767228"
"2003","12","Pensiones no contributivas por invalidez sin bonos","18.9070266"
"2003","12","Pensiones no contributivas por invalidez con bonos","18.9070266"
"2003","12","Pensiones no contributivas por vejez sin bonos","9.6954396"
"2003","12","Pensiones no contributivas por vejez con bonos","9.6954396"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","19.651423"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","19.651423"
"2003","12","Políticas alimentarias","0.571731"
"2003","12","Abordaje territorial","2.61559428"
"2003","12","Economía social","0.9543202"
"2003","12","Asistencia a la actividad cooperativa y mutual","0.1465198"
"2003","12","Programa social agropecuario","3.72942842"
"2003","12","Acciones de empleo","0.0057044"
"2003","12","Acciones de capacitación laboral","4.79111643"
"2003","12","Inclusión social","31.211487"
"2003","12","Jefes de hogar","416.71490834"
"2004","1","Pensiones no contributivas por invalidez sin bonos","13.7556048"
"2004","1","Pensiones no contributivas por invalidez con bonos","13.7556048"
"2004","1","Pensiones no contributivas por vejez sin bonos","8.649816"
"2004","1","Pensiones no contributivas por vejez con bonos","8.649816"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14.321744"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","14.321744"
"2004","1","Políticas alimentarias","0"
"2004","1","Abordaje territorial","0.5883486"
"2004","1","Economía social","0"
"2004","1","Asistencia a la actividad cooperativa y mutual","0.04548"
"2004","1","Programa social agropecuario","1.481345"
"2004","1","Monotributo social","0"
"2004","1","Acciones de empleo","32.2248505"
"2004","1","Acciones de capacitación laboral","0"
"2004","1","Inclusión social","0"
"2004","1","Jefes de hogar","222.5408665"
"2004","2","Pensiones no contributivas por invalidez sin bonos","13.8092304"
"2004","2","Pensiones no contributivas por invalidez con bonos","13.8092304"
"2004","2","Pensiones no contributivas por vejez sin bonos","8.649816"
"2004","2","Pensiones no contributivas por vejez con bonos","8.649816"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14.355824"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","14.355824"
"2004","2","Políticas alimentarias","1.18668"
"2004","2","Abordaje territorial","1.74708049"
"2004","2","Economía social","0.08585368"
"2004","2","Asistencia a la actividad cooperativa y mutual","0.04548"
"2004","2","Programa social agropecuario","1.481344"
"2004","2","Monotributo social","0"
"2004","2","Acciones de empleo","35.5992"
"2004","2","Acciones de capacitación laboral","0.26193833"
"2004","2","Inclusión social","0.42867468"
"2004","2","Jefes de hogar","333.572253"
"2004","3","Pensiones no contributivas por invalidez sin bonos","13.8182352"
"2004","3","Pensiones no contributivas por invalidez con bonos","13.8182352"
"2004","3","Pensiones no contributivas por vejez sin bonos","8.649816"
"2004","3","Pensiones no contributivas por vejez con bonos","8.649816"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14.381744"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","14.381744"
"2004","3","Políticas alimentarias","1.28557"
"2004","3","Abordaje territorial","2.62106456"
"2004","3","Economía social","1.7594501"
"2004","3","Asistencia a la actividad cooperativa y mutual","0.18248"
"2004","3","Programa social agropecuario","4.932845"
"2004","3","Monotributo social","0"
"2004","3","Programa de empleo comunitario","30.84195"
"2004","3","Acciones de empleo","2.2056"
"2004","3","Acciones de capacitación laboral","0.19750783"
"2004","3","Inclusión social","78.36036154"
"2004","3","Jefes de hogar","278.26321186"
"2004","4","Pensiones no contributivas por invalidez sin bonos","13.9277376"
"2004","4","Pensiones no contributivas por invalidez con bonos","13.9277376"
"2004","4","Pensiones no contributivas por vejez sin bonos","8.649816"
"2004","4","Pensiones no contributivas por vejez con bonos","8.649816"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14.481824"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","14.481824"
"2004","4","Políticas alimentarias","0"
"2004","4","Abordaje territorial","1.10607804"
"2004","4","Economía social","0"
"2004","4","Asistencia a la actividad cooperativa y mutual","0.137"
"2004","4","Programa social agropecuario","3.25"
"2004","4","Monotributo social","0"
"2004","4","Programa de empleo comunitario","30.32295"
"2004","4","Acciones de empleo","0.223800000000001"
"2004","4","Acciones de capacitación laboral","0.20309096"
"2004","4","Inclusión social","11.32770646"
"2004","4","Jefes de hogar","275.66448"
"2004","5","Pensiones no contributivas por invalidez sin bonos","14.1057168"
"2004","5","Pensiones no contributivas por invalidez con bonos","14.1057168"
"2004","5","Pensiones no contributivas por vejez sin bonos","8.649816"
"2004","5","Pensiones no contributivas por vejez con bonos","8.649816"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14.677664"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","14.677664"
"2004","5","Políticas alimentarias","2.27271866"
"2004","5","Abordaje territorial","1.18428238"
"2004","5","Economía social","0.54082911"
"2004","5","Asistencia a la actividad cooperativa y mutual","0.055"
"2004","5","Programa social agropecuario","2.59"
"2004","5","Monotributo social","0"
"2004","5","Programa de empleo comunitario","30.14215"
"2004","5","Acciones de empleo","0.246869999999998"
"2004","5","Acciones de capacitación laboral","0.1966336"
"2004","5","Inclusión social","18.74818847"
"2004","5","Jefes de hogar","276.21759"
"2004","6","Pensiones no contributivas por invalidez sin bonos","23.2280958"
"2004","6","Pensiones no contributivas por invalidez con bonos","23.2280958"
"2004","6","Pensiones no contributivas por vejez sin bonos","14.055951"
"2004","6","Pensiones no contributivas por vejez con bonos","14.055951"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","24.431524"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","24.431524"
"2004","6","Políticas alimentarias","2.13015334"
"2004","6","Abordaje territorial","1.36433161"
"2004","6","Economía social","2.85736867"
"2004","6","Asistencia a la actividad cooperativa y mutual","0.0696"
"2004","6","Programa social agropecuario","4.439394"
"2004","6","Monotributo social","0"
"2004","6","Programa de empleo comunitario","30.1321"
"2004","6","Acciones de empleo","-3.41255"
"2004","6","Acciones de capacitación laboral","0.83254856"
"2004","6","Inclusión social","20.50466069"
"2004","6","Jefes de hogar","264.80117394"
"2004","7","Pensiones no contributivas por invalidez sin bonos","15.914626"
"2004","7","Pensiones no contributivas por invalidez con bonos","15.914626"
"2004","7","Pensiones no contributivas por vejez sin bonos","9.370634"
"2004","7","Pensiones no contributivas por vejez con bonos","9.370634"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","16.6685826666667"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","16.6685826666667"
"2004","7","Políticas alimentarias","0"
"2004","7","Abordaje territorial","0.74811008"
"2004","7","Economía social","0.62624356"
"2004","7","Asistencia a la actividad cooperativa y mutual","0.088"
"2004","7","Programa social agropecuario","1.7695"
"2004","7","Monotributo social","0"
"2004","7","Programa de empleo comunitario","29.94385"
"2004","7","Acciones de empleo","-1.3305"
"2004","7","Acciones de capacitación laboral","0.05533674"
"2004","7","Inclusión social","20.7557457"
"2004","7","Jefes de hogar","263.806305"
"2004","8","Pensiones no contributivas por invalidez sin bonos","16.184532"
"2004","8","Pensiones no contributivas por invalidez con bonos","16.184532"
"2004","8","Pensiones no contributivas por vejez sin bonos","9.370634"
"2004","8","Pensiones no contributivas por vejez con bonos","9.370634"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","17.1007026666667"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","17.1007026666667"
"2004","8","Políticas alimentarias","1.7303909"
"2004","8","Abordaje territorial","0.810477"
"2004","8","Economía social","4.76151479"
"2004","8","Asistencia a la actividad cooperativa y mutual","0.0585"
"2004","8","Programa social agropecuario","1.978572"
"2004","8","Monotributo social","0"
"2004","8","Programa de empleo comunitario","30.38065"
"2004","8","Acciones de empleo","-0.816949999999999"
"2004","8","Acciones de capacitación laboral","0.1392273"
"2004","8","Inclusión social","36.70432323"
"2004","8","Jefes de hogar","255.5379525"
"2004","9","Pensiones no contributivas por invalidez sin bonos","19.96361136"
"2004","9","Pensiones no contributivas por invalidez con bonos","19.96361136"
"2004","9","Pensiones no contributivas por vejez sin bonos","11.1005972"
"2004","9","Pensiones no contributivas por vejez con bonos","11.1005972"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","20.9322754666667"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","20.9322754666667"
"2004","9","Políticas alimentarias","1.7740451"
"2004","9","Abordaje territorial","1.37145541"
"2004","9","Economía social","3.27578135"
"2004","9","Asistencia a la actividad cooperativa y mutual","0.09234"
"2004","9","Programa social agropecuario","3.5035"
"2004","9","Monotributo social","0"
"2004","9","Programa de empleo comunitario","30.46552"
"2004","9","Acciones de empleo","0.298879999999997"
"2004","9","Acciones de capacitación laboral","0.23806857"
"2004","9","Inclusión social","50.26813379"
"2004","9","Jefes de hogar","253.73553717"
"2004","10","Pensiones no contributivas por invalidez sin bonos","20.57375936"
"2004","10","Pensiones no contributivas por invalidez con bonos","20.57375936"
"2004","10","Pensiones no contributivas por vejez sin bonos","11.1005972"
"2004","10","Pensiones no contributivas por vejez con bonos","11.1005972"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","21.8094594666667"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","21.8094594666667"
"2004","10","Políticas alimentarias","1.492767"
"2004","10","Abordaje territorial","1.17786858"
"2004","10","Economía social","0.69846622"
"2004","10","Asistencia a la actividad cooperativa y mutual","0.07"
"2004","10","Programa social agropecuario","2.852568"
"2004","10","Monotributo social","0"
"2004","10","Programa de empleo comunitario","31.20847"
"2004","10","Acciones de empleo","-0.194019999999998"
"2004","10","Acciones de capacitación laboral","0.8603497"
"2004","10","Inclusión social","5.8347731"
"2004","10","Jefes de hogar","253.079054"
"2004","11","Pensiones no contributivas por invalidez sin bonos","22.00038456"
"2004","11","Pensiones no contributivas por invalidez con bonos","22.00038456"
"2004","11","Pensiones no contributivas por vejez sin bonos","11.1005972"
"2004","11","Pensiones no contributivas por vejez con bonos","11.1005972"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","22.7965994666667"
