"anio","mes","programa_ejecucion_mensual","ejecucion_mensual_millones_pesos_corrientes"
"2002","8","Ellas hacen + Argentina trabaja","0"
"2002","8","Hacemos futuro","0"
"2002","8","Potenciar trabajo","0"
"2002","8","Monotributo social","0"
"2002","8","Programa de empleo comunitario","0"
"2002","8","Programa de recuperación productiva","0"
"2002","8","Seguro de capacitación y empleo","0"
"2002","8","Asistencia al trabajo, empleo y producción","0"
"2002","8","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","8","Ingreso familiar de emergencia","0"
"2002","8","Programa de respaldo a estudiantes de Argentina","0"
"2002","8","Jefes de hogar","278.4027383"
"2002","9","Pensiones no contributivas por invalidez","8.121247344"
"2002","9","Pensiones no contributivas por vejez","4.346106"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos","8.12318293"
"2002","9","Pensión universal para el adulto mayor","0"
"2002","9","Prestaciones previsionales por moratoria previsional","0"
"2002","9","Tarjetas alimentarias","0"
"2002","9","Prestación Alimentar","0"
"2002","9","Proyectos productivos comunitarios","0"
"2002","9","Ellas hacen + Argentina trabaja","0"
"2002","9","Hacemos futuro","0"
"2002","9","Potenciar trabajo","0"
"2002","9","Monotributo social","0"
"2002","9","Programa de empleo comunitario","0"
"2002","9","Programa de recuperación productiva","0"
"2002","9","Seguro de capacitación y empleo","0"
"2002","9","Asistencia al trabajo, empleo y producción","0"
"2002","9","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","9","Ingreso familiar de emergencia","0"
"2002","9","Programa de respaldo a estudiantes de Argentina","0"
"2002","9","Jefes de hogar","310.85394879"
"2002","10","Pensiones no contributivas por invalidez","8.121247344"
"2002","10","Pensiones no contributivas por vejez","4.346106"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos","8.30948717"
"2002","10","Pensión universal para el adulto mayor","0"
"2002","10","Prestaciones previsionales por moratoria previsional","0"
"2002","10","Tarjetas alimentarias","0"
"2002","10","Prestación Alimentar","0"
"2002","10","Proyectos productivos comunitarios","0"
"2002","10","Ellas hacen + Argentina trabaja","0"
"2002","10","Hacemos futuro","0"
"2002","10","Potenciar trabajo","0"
"2002","10","Monotributo social","0"
"2002","10","Programa de empleo comunitario","0"
"2002","10","Programa de recuperación productiva","0"
"2002","10","Seguro de capacitación y empleo","0"
"2002","10","Asistencia al trabajo, empleo y producción","0"
"2002","10","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","10","Ingreso familiar de emergencia","0"
"2002","10","Programa de respaldo a estudiantes de Argentina","0"
"2002","10","Jefes de hogar","297.70475953"
"2002","11","Pensiones no contributivas por invalidez","8.121247344"
"2002","11","Pensiones no contributivas por vejez","4.346106"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos","8.42128217"
"2002","11","Pensión universal para el adulto mayor","0"
"2002","11","Prestaciones previsionales por moratoria previsional","0"
"2002","11","Tarjetas alimentarias","0"
"2002","11","Prestación Alimentar","0"
"2002","11","Proyectos productivos comunitarios","0"
"2002","11","Ellas hacen + Argentina trabaja","0"
"2002","11","Hacemos futuro","0"
"2002","11","Potenciar trabajo","0"
"2002","11","Monotributo social","0"
"2002","11","Programa de empleo comunitario","0"
"2002","11","Programa de recuperación productiva","0"
"2002","11","Seguro de capacitación y empleo","0"
"2002","11","Asistencia al trabajo, empleo y producción","0"
"2002","11","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","11","Ingreso familiar de emergencia","0"
"2002","11","Programa de respaldo a estudiantes de Argentina","0"
"2002","11","Jefes de hogar","286.136654"
"2002","12","Pensiones no contributivas por invalidez","12.181871016"
"2002","12","Pensiones no contributivas por vejez","6.519159"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos","12.70534188"
"2002","12","Pensión universal para el adulto mayor","0"
"2002","12","Prestaciones previsionales por moratoria previsional","0"
"2002","12","Tarjetas alimentarias","0"
"2002","12","Prestación Alimentar","0"
"2002","12","Proyectos productivos comunitarios","0"
"2002","12","Ellas hacen + Argentina trabaja","0"
"2002","12","Hacemos futuro","0"
"2002","12","Potenciar trabajo","0"
"2002","12","Monotributo social","0"
"2002","12","Programa de empleo comunitario","0"
"2002","12","Programa de recuperación productiva","0"
"2002","12","Seguro de capacitación y empleo","0"
"2002","12","Asistencia al trabajo, empleo y producción","0"
"2002","12","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","12","Ingreso familiar de emergencia","0"
"2002","12","Programa de respaldo a estudiantes de Argentina","0"
"2002","12","Jefes de hogar","335.84300627"
"2003","1","Pensiones no contributivas por invalidez","8.207073"
"2003","1","Pensiones no contributivas por vejez","4.355799"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos","8.48933148"
"2003","1","Pensión universal para el adulto mayor","0"
"2003","1","Prestaciones previsionales por moratoria previsional","0"
"2003","1","Tarjetas alimentarias","0"
"2003","1","Prestación Alimentar","0"
"2003","1","Proyectos productivos comunitarios","0"
"2003","1","Ellas hacen + Argentina trabaja","0"
"2003","1","Hacemos futuro","0"
"2003","1","Potenciar trabajo","0"
"2003","1","Monotributo social","0"
"2003","1","Programa de empleo comunitario","0"
"2003","1","Programa de recuperación productiva","0"
"2003","1","Seguro de capacitación y empleo","0"
"2003","1","Asistencia al trabajo, empleo y producción","0"
"2003","1","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","1","Ingreso familiar de emergencia","0"
"2003","1","Programa de respaldo a estudiantes de Argentina","0"
"2003","1","Jefes de hogar","0"
"2003","2","Pensiones no contributivas por invalidez","8.208312"
"2003","2","Pensiones no contributivas por vejez","4.355799"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos","8.50758912"
"2003","2","Pensión universal para el adulto mayor","0"
"2003","2","Prestaciones previsionales por moratoria previsional","0"
"2003","2","Tarjetas alimentarias","0"
"2003","2","Prestación Alimentar","0"
"2003","2","Proyectos productivos comunitarios","0"
"2003","2","Ellas hacen + Argentina trabaja","0"
"2003","2","Hacemos futuro","0"
"2003","2","Potenciar trabajo","0"
"2003","2","Monotributo social","0"
"2003","2","Programa de empleo comunitario","0"
"2003","2","Programa de recuperación productiva","0"
"2003","2","Seguro de capacitación y empleo","0"
"2003","2","Asistencia al trabajo, empleo y producción","0"
"2003","2","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","2","Ingreso familiar de emergencia","0"
"2003","2","Programa de respaldo a estudiantes de Argentina","0"
"2003","2","Jefes de hogar","601.80784"
"2003","3","Pensiones no contributivas por invalidez","8.265159"
"2003","3","Pensiones no contributivas por vejez","4.355799"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos","8.57611061"
"2003","3","Pensión universal para el adulto mayor","0"
"2003","3","Prestaciones previsionales por moratoria previsional","0"
"2003","3","Tarjetas alimentarias","0"
"2003","3","Prestación Alimentar","0"
"2003","3","Proyectos productivos comunitarios","0"
"2003","3","Ellas hacen + Argentina trabaja","0"
"2003","3","Hacemos futuro","0"
"2003","3","Potenciar trabajo","0"
"2003","3","Monotributo social","0"
"2003","3","Programa de empleo comunitario","0"
"2003","3","Programa de recuperación productiva","0"
"2003","3","Seguro de capacitación y empleo","0"
"2003","3","Asistencia al trabajo, empleo y producción","0"
"2003","3","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","3","Ingreso familiar de emergencia","0"
"2003","3","Programa de respaldo a estudiantes de Argentina","0"
"2003","3","Jefes de hogar","200.29717"
"2003","4","Pensiones no contributivas por invalidez","8.331141"
"2003","4","Pensiones no contributivas por vejez","4.355799"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos","8.6305341"
"2003","4","Pensión universal para el adulto mayor","0"
"2003","4","Prestaciones previsionales por moratoria previsional","0"
"2003","4","Tarjetas alimentarias","0"
"2003","4","Prestación Alimentar","0"
"2003","4","Proyectos productivos comunitarios","0"
"2003","4","Ellas hacen + Argentina trabaja","0"
"2003","4","Hacemos futuro","0"
"2003","4","Potenciar trabajo","0"
"2003","4","Monotributo social","0"
"2003","4","Programa de empleo comunitario","0"
"2003","4","Programa de recuperación productiva","0"
"2003","4","Seguro de capacitación y empleo","0"
"2003","4","Asistencia al trabajo, empleo y producción","0"
"2003","4","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","4","Ingreso familiar de emergencia","0"
"2003","4","Programa de respaldo a estudiantes de Argentina","0"
"2003","4","Jefes de hogar","273.871828"
"2003","5","Pensiones no contributivas por invalidez","8.39202"
"2003","5","Pensiones no contributivas por vejez","4.355799"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos","8.6824116"
"2003","5","Pensión universal para el adulto mayor","0"
"2003","5","Prestaciones previsionales por moratoria previsional","0"
"2003","5","Tarjetas alimentarias","0"
"2003","5","Prestación Alimentar","0"
"2003","5","Proyectos productivos comunitarios","0"
"2003","5","Ellas hacen + Argentina trabaja","0"
"2003","5","Hacemos futuro","0"
"2003","5","Potenciar trabajo","0"
"2003","5","Monotributo social","0"
"2003","5","Programa de empleo comunitario","0"
"2003","5","Programa de recuperación productiva","0"
"2003","5","Seguro de capacitación y empleo","0"
"2003","5","Asistencia al trabajo, empleo y producción","0"
"2003","5","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","5","Ingreso familiar de emergencia","0"
"2003","5","Programa de respaldo a estudiantes de Argentina","0"
"2003","5","Jefes de hogar","331.723204"
"2003","6","Pensiones no contributivas por invalidez","12.5931645"
"2003","6","Pensiones no contributivas por vejez","6.5336985"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos","13.041922395"
"2003","6","Pensión universal para el adulto mayor","0"
"2003","6","Prestaciones previsionales por moratoria previsional","0"
"2003","6","Tarjetas alimentarias","0"
"2003","6","Prestación Alimentar","0"
"2003","6","Proyectos productivos comunitarios","0"
"2003","6","Ellas hacen + Argentina trabaja","0"
"2003","6","Hacemos futuro","0"
"2003","6","Potenciar trabajo","0"
"2003","6","Monotributo social","0"
"2003","6","Programa de empleo comunitario","0"
"2003","6","Programa de recuperación productiva","0"
"2003","6","Seguro de capacitación y empleo","0"
"2003","6","Asistencia al trabajo, empleo y producción","0"
"2003","6","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","6","Ingreso familiar de emergencia","0"
"2003","6","Programa de respaldo a estudiantes de Argentina","0"
"2003","6","Jefes de hogar","334.571298"
"2003","7","Pensiones no contributivas por invalidez","12.3070332"
"2003","7","Pensiones no contributivas por vejez","6.3885052"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos","8.71092453"
"2003","7","Pensión universal para el adulto mayor","0"
"2003","7","Prestaciones previsionales por moratoria previsional","0"
"2003","7","Tarjetas alimentarias","0"
"2003","7","Prestación Alimentar","0"
"2003","7","Proyectos productivos comunitarios","0"
"2003","7","Ellas hacen + Argentina trabaja","0"
"2003","7","Hacemos futuro","0"
"2003","7","Potenciar trabajo","0"
"2003","7","Monotributo social","0"
"2003","7","Programa de empleo comunitario","0"
"2003","7","Programa de recuperación productiva","0"
"2003","7","Seguro de capacitación y empleo","0"
"2003","7","Asistencia al trabajo, empleo y producción","0"
"2003","7","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","7","Ingreso familiar de emergencia","0"
"2003","7","Programa de respaldo a estudiantes de Argentina","0"
"2003","7","Jefes de hogar","335.918935"
"2003","8","Pensiones no contributivas por invalidez","12.3017664"
"2003","8","Pensiones no contributivas por vejez","6.3885052"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos","12.78926545"
"2003","8","Pensión universal para el adulto mayor","0"
"2003","8","Prestaciones previsionales por moratoria previsional","0"
"2003","8","Tarjetas alimentarias","0"
"2003","8","Prestación Alimentar","0"
"2003","8","Proyectos productivos comunitarios","0"
"2003","8","Ellas hacen + Argentina trabaja","0"
"2003","8","Hacemos futuro","0"
"2003","8","Potenciar trabajo","0"
"2003","8","Monotributo social","0"
"2003","8","Programa de empleo comunitario","0"
"2003","8","Programa de recuperación productiva","0"
"2003","8","Seguro de capacitación y empleo","0"
"2003","8","Asistencia al trabajo, empleo y producción","0"
"2003","8","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","8","Ingreso familiar de emergencia","0"
"2003","8","Programa de respaldo a estudiantes de Argentina","0"
"2003","8","Jefes de hogar","331.260191"
"2003","9","Pensiones no contributivas por invalidez","12.3605944"
"2003","9","Pensiones no contributivas por vejez","6.3885052"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos","12.82728773"
"2003","9","Pensión universal para el adulto mayor","0"
"2003","9","Prestaciones previsionales por moratoria previsional","0"
"2003","9","Tarjetas alimentarias","0"
"2003","9","Prestación Alimentar","0"
"2003","9","Proyectos productivos comunitarios","0"
"2003","9","Ellas hacen + Argentina trabaja","0"
"2003","9","Hacemos futuro","0"
"2003","9","Potenciar trabajo","0"
"2003","9","Monotributo social","0"
"2003","9","Programa de empleo comunitario","0"
"2003","9","Programa de recuperación productiva","0"
"2003","9","Seguro de capacitación y empleo","0"
"2003","9","Asistencia al trabajo, empleo y producción","0"
"2003","9","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","9","Ingreso familiar de emergencia","0"
"2003","9","Programa de respaldo a estudiantes de Argentina","0"
"2003","9","Jefes de hogar","331.202546"
"2003","10","Pensiones no contributivas por invalidez","12.402544"
"2003","10","Pensiones no contributivas por vejez","6.3885052"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos","12.87983273"
"2003","10","Pensión universal para el adulto mayor","0"
"2003","10","Prestaciones previsionales por moratoria previsional","0"
"2003","10","Tarjetas alimentarias","0"
"2003","10","Prestación Alimentar","0"
"2003","10","Proyectos productivos comunitarios","0"
"2003","10","Ellas hacen + Argentina trabaja","0"
"2003","10","Hacemos futuro","0"
"2003","10","Potenciar trabajo","0"
"2003","10","Monotributo social","0"
"2003","10","Programa de empleo comunitario","0"
"2003","10","Programa de recuperación productiva","0"
"2003","10","Seguro de capacitación y empleo","0"
"2003","10","Asistencia al trabajo, empleo y producción","0"
"2003","10","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","10","Ingreso familiar de emergencia","0"
"2003","10","Programa de respaldo a estudiantes de Argentina","0"
"2003","10","Jefes de hogar","330.889366"
"2003","11","Pensiones no contributivas por invalidez","12.4279848"
"2003","11","Pensiones no contributivas por vejez","6.3885052"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos","12.90967907"
"2003","11","Pensión universal para el adulto mayor","0"
"2003","11","Prestaciones previsionales por moratoria previsional","0"
"2003","11","Tarjetas alimentarias","0"
"2003","11","Prestación Alimentar","0"
"2003","11","Proyectos productivos comunitarios","0"
"2003","11","Ellas hacen + Argentina trabaja","0"
"2003","11","Hacemos futuro","0"
"2003","11","Potenciar trabajo","0"
"2003","11","Monotributo social","0"
"2003","11","Programa de empleo comunitario","0"
"2003","11","Programa de recuperación productiva","0"
"2003","11","Seguro de capacitación y empleo","0"
"2003","11","Asistencia al trabajo, empleo y producción","0"
"2003","11","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","11","Ingreso familiar de emergencia","0"
"2003","11","Programa de respaldo a estudiantes de Argentina","0"
"2003","11","Jefes de hogar","210.25767228"
"2003","12","Pensiones no contributivas por invalidez","18.6451188"
"2003","12","Pensiones no contributivas por vejez","9.5827578"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos","19.387690095"
"2003","12","Pensión universal para el adulto mayor","0"
"2003","12","Prestaciones previsionales por moratoria previsional","0"
"2003","12","Tarjetas alimentarias","0"
"2003","12","Prestación Alimentar","0"
"2003","12","Proyectos productivos comunitarios","0"
"2003","12","Ellas hacen + Argentina trabaja","0"
"2003","12","Hacemos futuro","0"
"2003","12","Potenciar trabajo","0"
"2003","12","Monotributo social","0"
"2003","12","Programa de empleo comunitario","0"
"2003","12","Programa de recuperación productiva","0"
"2003","12","Seguro de capacitación y empleo","0"
"2003","12","Asistencia al trabajo, empleo y producción","0"
"2003","12","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2003","12","Ingreso familiar de emergencia","0"
"2003","12","Programa de respaldo a estudiantes de Argentina","0"
"2003","12","Jefes de hogar","416.71490834"
"2004","1","Pensiones no contributivas por invalidez","13.5654624"
"2004","1","Pensiones no contributivas por vejez","8.55204"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos","14.10683156"
"2004","1","Pensión universal para el adulto mayor","0"
"2004","1","Prestaciones previsionales por moratoria previsional","0"
"2004","1","Tarjetas alimentarias","0"
"2004","1","Prestación Alimentar","0"
"2004","1","Proyectos productivos comunitarios","0"
"2004","1","Ellas hacen + Argentina trabaja","0"
"2004","1","Hacemos futuro","0"
"2004","1","Potenciar trabajo","0"
"2004","1","Monotributo social","0"
"2004","1","Programa de empleo comunitario","0"
"2004","1","Programa de recuperación productiva","0"
"2004","1","Seguro de capacitación y empleo","0"
"2004","1","Asistencia al trabajo, empleo y producción","0"
"2004","1","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2004","1","Ingreso familiar de emergencia","0"
"2004","1","Programa de respaldo a estudiantes de Argentina","0"
"2004","1","Jefes de hogar","222.5408665"
"2004","2","Pensiones no contributivas por invalidez","13.6181472"
"2004","2","Pensiones no contributivas por vejez","8.55204"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos","14.14078357"
"2004","2","Pensión universal para el adulto mayor","0"
"2004","2","Prestaciones previsionales por moratoria previsional","0"
"2004","2","Tarjetas alimentarias","0"
"2004","2","Prestación Alimentar","0"
"2004","2","Proyectos productivos comunitarios","0"
"2004","2","Ellas hacen + Argentina trabaja","0"
"2004","2","Hacemos futuro","0"
"2004","2","Potenciar trabajo","0"
"2004","2","Monotributo social","0"
"2004","2","Programa de empleo comunitario","0"
"2004","2","Programa de recuperación productiva","0"
"2004","2","Seguro de capacitación y empleo","0"
"2004","2","Asistencia al trabajo, empleo y producción","0"
"2004","2","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2004","2","Ingreso familiar de emergencia","0"
"2004","2","Programa de respaldo a estudiantes de Argentina","0"
"2004","2","Jefes de hogar","333.572253"
"2004","3","Pensiones no contributivas por invalidez","13.6271856"
"2004","3","Pensiones no contributivas por vejez","8.55204"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos","14.16673957"
"2004","3","Pensión universal para el adulto mayor","0"
"2004","3","Prestaciones previsionales por moratoria previsional","0"
"2004","3","Tarjetas alimentarias","0"
"2004","3","Prestación Alimentar","0"
"2004","3","Proyectos productivos comunitarios","0"
"2004","3","Ellas hacen + Argentina trabaja","0"
"2004","3","Hacemos futuro","0"
"2004","3","Potenciar trabajo","0"
"2004","3","Monotributo social","0"
"2004","3","Programa de empleo comunitario","30.84195"
"2004","3","Programa de recuperación productiva","0"
"2004","3","Seguro de capacitación y empleo","0"
"2004","3","Asistencia al trabajo, empleo y producción","0"
"2004","3","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2004","3","Ingreso familiar de emergencia","0"
"2004","3","Programa de respaldo a estudiantes de Argentina","0"
"2004","3","Jefes de hogar","278.26321186"
"2004","4","Pensiones no contributivas por invalidez","13.7361168"
"2004","4","Pensiones no contributivas por vejez","8.55204"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos","14.26665158"
"2004","4","Pensión universal para el adulto mayor","0"
"2004","4","Prestaciones previsionales por moratoria previsional","0"
"2004","4","Tarjetas alimentarias","0"
"2004","4","Prestación Alimentar","0"
"2004","4","Proyectos productivos comunitarios","0"
"2004","4","Ellas hacen + Argentina trabaja","0"
"2004","4","Hacemos futuro","0"
"2004","4","Potenciar trabajo","0"
"2004","4","Monotributo social","0"
"2004","4","Programa de empleo comunitario","30.32295"
"2004","4","Programa de recuperación productiva","0"
"2004","4","Seguro de capacitación y empleo","0"
