"anio","mes","programa_nivel_beneficio","beneficio_percibido_pesos_corrientes"
"2003","5","Pensiones no contributivas por invalidez con bonos","105"
"2003","5","Pensiones no contributivas por invalidez sin bonos","105"
"2003","5","Pensiones no contributivas por vejez con bonos","105"
"2003","5","Pensiones no contributivas por vejez sin bonos","105"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2003","5","ProHuerta",
"2003","5","Programa de empleo comunitario",
"2003","5","Jefes de hogar",
"2003","6","Pensiones no contributivas por invalidez con bonos","157.5"
"2003","6","Pensiones no contributivas por invalidez sin bonos","157.5"
"2003","6","Pensiones no contributivas por vejez con bonos","157.5"
"2003","6","Pensiones no contributivas por vejez sin bonos","157.5"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","225"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","225"
"2003","6","ProHuerta",
"2003","6","Programa de empleo comunitario",
"2003","6","Jefes de hogar",
"2003","7","Pensiones no contributivas por invalidez con bonos","154"
"2003","7","Pensiones no contributivas por invalidez sin bonos","154"
"2003","7","Pensiones no contributivas por vejez con bonos","154"
"2003","7","Pensiones no contributivas por vejez sin bonos","154"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","220"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","220"
"2003","7","ProHuerta",
"2003","7","Programa de empleo comunitario",
"2003","7","Jefes de hogar",
"2003","8","Pensiones no contributivas por invalidez con bonos","154"
"2003","8","Pensiones no contributivas por invalidez sin bonos","154"
"2003","8","Pensiones no contributivas por vejez con bonos","154"
"2003","8","Pensiones no contributivas por vejez sin bonos","154"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","220"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","220"
"2003","8","ProHuerta",
"2003","8","Programa de empleo comunitario",
"2003","8","Jefes de hogar",
"2003","9","Pensiones no contributivas por invalidez con bonos","154"
"2003","9","Pensiones no contributivas por invalidez sin bonos","154"
"2003","9","Pensiones no contributivas por vejez con bonos","154"
"2003","9","Pensiones no contributivas por vejez sin bonos","154"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","220"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","220"
"2003","9","ProHuerta",
"2003","9","Programa de empleo comunitario",
"2003","9","Jefes de hogar",
"2003","10","Pensiones no contributivas por invalidez con bonos","154"
"2003","10","Pensiones no contributivas por invalidez sin bonos","154"
"2003","10","Pensiones no contributivas por vejez con bonos","154"
"2003","10","Pensiones no contributivas por vejez sin bonos","154"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","220"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","220"
"2003","10","ProHuerta",
"2003","10","Programa de empleo comunitario",
"2003","10","Jefes de hogar",
"2003","11","Pensiones no contributivas por invalidez con bonos","154"
"2003","11","Pensiones no contributivas por invalidez sin bonos","154"
"2003","11","Pensiones no contributivas por vejez con bonos","154"
"2003","11","Pensiones no contributivas por vejez sin bonos","154"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","220"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","220"
"2003","11","ProHuerta",
"2003","11","Programa de empleo comunitario",
"2003","11","Jefes de hogar",
"2003","12","Pensiones no contributivas por invalidez con bonos","231"
"2003","12","Pensiones no contributivas por invalidez sin bonos","231"
"2003","12","Pensiones no contributivas por vejez con bonos","231"
"2003","12","Pensiones no contributivas por vejez sin bonos","231"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","330"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","330"
"2003","12","ProHuerta",
"2003","12","Programa de empleo comunitario",
"2003","12","Programa de recuperación productiva 1",
"2003","12","Jefes de hogar",
"2004","1","Pensiones no contributivas por invalidez con bonos","168"
"2004","1","Pensiones no contributivas por invalidez sin bonos","168"
"2004","1","Pensiones no contributivas por vejez con bonos","168"
"2004","1","Pensiones no contributivas por vejez sin bonos","168"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","240"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","240"
"2004","1","ProHuerta",
"2004","1","Programa de empleo comunitario",
"2004","1","Monotributo social",
"2004","1","Programa de recuperación productiva 1",
"2004","1","Jefes de hogar",
"2004","2","Pensiones no contributivas por invalidez con bonos","168"
"2004","2","Pensiones no contributivas por invalidez sin bonos","168"
"2004","2","Pensiones no contributivas por vejez con bonos","168"
"2004","2","Pensiones no contributivas por vejez sin bonos","168"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","240"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","240"
"2004","2","ProHuerta",
"2004","2","Programa de empleo comunitario",
"2004","2","Monotributo social",
"2004","2","Programa de recuperación productiva 1",
"2004","2","Jefes de hogar",
"2004","3","Pensiones no contributivas por invalidez con bonos","168"
"2004","3","Pensiones no contributivas por invalidez sin bonos","168"
"2004","3","Pensiones no contributivas por vejez con bonos","168"
"2004","3","Pensiones no contributivas por vejez sin bonos","168"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","240"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","240"
"2004","3","ProHuerta",
"2004","3","Programa de empleo comunitario",
"2004","3","Trabajo autogestionado",
"2004","3","Monotributo social",
"2004","3","Programa de recuperación productiva 1",
"2004","3","Jefes de hogar",
"2004","4","Pensiones no contributivas por invalidez con bonos","168"
"2004","4","Pensiones no contributivas por invalidez sin bonos","168"
"2004","4","Pensiones no contributivas por vejez con bonos","168"
"2004","4","Pensiones no contributivas por vejez sin bonos","168"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","240"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","240"
"2004","4","ProHuerta",
"2004","4","Programa de empleo comunitario",
"2004","4","Trabajo autogestionado",
"2004","4","Monotributo social",
"2004","4","Programa de recuperación productiva 1",
"2004","4","Jefes de hogar",
"2004","5","Pensiones no contributivas por invalidez con bonos","168"
"2004","5","Pensiones no contributivas por invalidez sin bonos","168"
"2004","5","Pensiones no contributivas por vejez con bonos","168"
"2004","5","Pensiones no contributivas por vejez sin bonos","168"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","240"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","240"
"2004","5","ProHuerta",
"2004","5","Programa de empleo comunitario",
"2004","5","Trabajo autogestionado",
"2004","5","Monotributo social",
"2004","5","Programa de recuperación productiva 1",
"2004","5","Jefes de hogar",
"2004","6","Pensiones no contributivas por invalidez con bonos","273"
"2004","6","Pensiones no contributivas por invalidez sin bonos","273"
"2004","6","Pensiones no contributivas por vejez con bonos","273"
"2004","6","Pensiones no contributivas por vejez sin bonos","273"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","390"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","390"
"2004","6","ProHuerta",
"2004","6","Programa de empleo comunitario",
"2004","6","Trabajo autogestionado",
"2004","6","Monotributo social",
"2004","6","Programa de recuperación productiva 1",
"2004","6","Jefes de hogar",
"2004","7","Pensiones no contributivas por invalidez con bonos","182"
"2004","7","Pensiones no contributivas por invalidez sin bonos","182"
"2004","7","Pensiones no contributivas por vejez con bonos","182"
"2004","7","Pensiones no contributivas por vejez sin bonos","182"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","260"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","260"
"2004","7","ProHuerta",
"2004","7","Programa de empleo comunitario",
"2004","7","Trabajo autogestionado",
"2004","7","Monotributo social",
"2004","7","Programa de recuperación productiva 1",
"2004","7","Jefes de hogar",
"2004","8","Pensiones no contributivas por invalidez con bonos","182"
"2004","8","Pensiones no contributivas por invalidez sin bonos","182"
"2004","8","Pensiones no contributivas por vejez con bonos","182"
"2004","8","Pensiones no contributivas por vejez sin bonos","182"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","260"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","260"
"2004","8","ProHuerta",
"2004","8","Programa de empleo comunitario",
"2004","8","Trabajo autogestionado",
"2004","8","Monotributo social",
"2004","8","Programa de recuperación productiva 1",
"2004","8","Jefes de hogar",
"2004","9","Pensiones no contributivas por invalidez con bonos","215.6"
"2004","9","Pensiones no contributivas por invalidez sin bonos","215.6"
"2004","9","Pensiones no contributivas por vejez con bonos","215.6"
"2004","9","Pensiones no contributivas por vejez sin bonos","215.6"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2004","9","ProHuerta",
"2004","9","Programa de empleo comunitario",
"2004","9","Trabajo autogestionado",
"2004","9","Monotributo social",
"2004","9","Programa de recuperación productiva 1",
"2004","9","Jefes de hogar",
"2004","10","Pensiones no contributivas por invalidez con bonos","215.6"
"2004","10","Pensiones no contributivas por invalidez sin bonos","215.6"
"2004","10","Pensiones no contributivas por vejez con bonos","215.6"
"2004","10","Pensiones no contributivas por vejez sin bonos","215.6"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2004","10","ProHuerta",
"2004","10","Programa de empleo comunitario",
"2004","10","Trabajo autogestionado",
"2004","10","Monotributo social",
"2004","10","Programa de recuperación productiva 1",
"2004","10","Jefes de hogar",
"2004","11","Pensiones no contributivas por invalidez con bonos","215.6"
"2004","11","Pensiones no contributivas por invalidez sin bonos","215.6"
"2004","11","Pensiones no contributivas por vejez con bonos","215.6"
"2004","11","Pensiones no contributivas por vejez sin bonos","215.6"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2004","11","ProHuerta",
"2004","11","Programa de empleo comunitario",
"2004","11","Trabajo autogestionado",
"2004","11","Monotributo social",
"2004","11","Programa de recuperación productiva 1",
"2004","11","Jefes de hogar",
"2004","12","Pensiones no contributivas por invalidez con bonos","523.4"
"2004","12","Pensiones no contributivas por invalidez sin bonos","323.4"
"2004","12","Pensiones no contributivas por vejez con bonos","523.4"
"2004","12","Pensiones no contributivas por vejez sin bonos","323.4"
"2004","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","662"
"2004","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","462"
"2004","12","ProHuerta",
"2004","12","Programa de empleo comunitario",
"2004","12","Trabajo autogestionado",
"2004","12","Monotributo social",
"2004","12","Programa de recuperación productiva 1",
"2004","12","Jefes de hogar",
"2005","1","Pensiones no contributivas por invalidez con bonos","215.6"
"2005","1","Pensiones no contributivas por invalidez sin bonos","215.6"
"2005","1","Pensiones no contributivas por vejez con bonos","215.6"
"2005","1","Pensiones no contributivas por vejez sin bonos","215.6"
"2005","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2005","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2005","1","Prestaciones previsionales por moratoria previsional con bonos","308"
"2005","1","Prestaciones previsionales por moratoria previsional sin bonos","308"
"2005","1","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3080"
"2005","1","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3080"
"2005","1","ProHuerta",
"2005","1","Programa de empleo comunitario",
"2005","1","Trabajo autogestionado",
"2005","1","Monotributo social",
"2005","1","Programa de recuperación productiva 1",
"2005","1","Jefes de hogar",
"2005","2","Pensiones no contributivas por invalidez con bonos","215.6"
"2005","2","Pensiones no contributivas por invalidez sin bonos","215.6"
"2005","2","Pensiones no contributivas por vejez con bonos","215.6"
"2005","2","Pensiones no contributivas por vejez sin bonos","215.6"
"2005","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2005","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2005","2","Prestaciones previsionales por moratoria previsional con bonos","308"
"2005","2","Prestaciones previsionales por moratoria previsional sin bonos","308"
"2005","2","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3080"
"2005","2","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3080"
"2005","2","ProHuerta",
"2005","2","Programa de empleo comunitario",
"2005","2","Trabajo autogestionado",
"2005","2","Monotributo social",
"2005","2","Programa de recuperación productiva 1",
"2005","2","Jefes de hogar",
"2005","3","Pensiones no contributivas por invalidez con bonos","215.6"
"2005","3","Pensiones no contributivas por invalidez sin bonos","215.6"
"2005","3","Pensiones no contributivas por vejez con bonos","215.6"
"2005","3","Pensiones no contributivas por vejez sin bonos","215.6"
"2005","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2005","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2005","3","Prestaciones previsionales por moratoria previsional con bonos","308"
"2005","3","Prestaciones previsionales por moratoria previsional sin bonos","308"
"2005","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3080"
"2005","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3080"
"2005","3","ProHuerta",
"2005","3","Programa de empleo comunitario",
"2005","3","Trabajo autogestionado",
"2005","3","Monotributo social",
"2005","3","Programa de recuperación productiva 1",
"2005","3","Jefes de hogar",
"2005","4","Pensiones no contributivas por invalidez con bonos","215.6"
"2005","4","Pensiones no contributivas por invalidez sin bonos","215.6"
"2005","4","Pensiones no contributivas por vejez con bonos","215.6"
"2005","4","Pensiones no contributivas por vejez sin bonos","215.6"
"2005","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2005","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2005","4","Prestaciones previsionales por moratoria previsional con bonos","308"
"2005","4","Prestaciones previsionales por moratoria previsional sin bonos","308"
"2005","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3080"
"2005","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3080"
"2005","4","ProHuerta",
"2005","4","Programa de empleo comunitario",
"2005","4","Trabajo autogestionado",
"2005","4","Monotributo social",
"2005","4","Programa de recuperación productiva 1",
"2005","4","Jefes de hogar",
"2005","5","Pensiones no contributivas por invalidez con bonos","215.6"
"2005","5","Pensiones no contributivas por invalidez sin bonos","215.6"
"2005","5","Pensiones no contributivas por vejez con bonos","215.6"
"2005","5","Pensiones no contributivas por vejez sin bonos","215.6"
"2005","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","308"
"2005","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","308"
"2005","5","Prestaciones previsionales por moratoria previsional con bonos","308"
"2005","5","Prestaciones previsionales por moratoria previsional sin bonos","308"
"2005","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3080"
"2005","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3080"
"2005","5","ProHuerta",
"2005","5","Programa de empleo comunitario",
"2005","5","Trabajo autogestionado",
"2005","5","Monotributo social",
"2005","5","Programa de recuperación productiva 1",
"2005","5","Jefes de hogar",
"2005","6","Pensiones no contributivas por invalidez con bonos","323.4"
"2005","6","Pensiones no contributivas por invalidez sin bonos","323.4"
"2005","6","Pensiones no contributivas por vejez con bonos","323.4"
"2005","6","Pensiones no contributivas por vejez sin bonos","323.4"
"2005","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","462"
"2005","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","462"
"2005","6","Prestaciones previsionales por moratoria previsional con bonos","462"
"2005","6","Prestaciones previsionales por moratoria previsional sin bonos","462"
"2005","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3080"
"2005","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3080"
"2005","6","ProHuerta",
"2005","6","Programa de empleo comunitario",
"2005","6","Trabajo autogestionado",
"2005","6","Monotributo social",
"2005","6","Programa de recuperación productiva 1",
"2005","6","Jefes de hogar",
"2005","7","Pensiones no contributivas por invalidez con bonos","245"
"2005","7","Pensiones no contributivas por invalidez sin bonos","245"
"2005","7","Pensiones no contributivas por vejez con bonos","245"
"2005","7","Pensiones no contributivas por vejez sin bonos","245"
"2005","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","350"
"2005","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","350"
"2005","7","Prestaciones previsionales por moratoria previsional con bonos","350"
"2005","7","Prestaciones previsionales por moratoria previsional sin bonos","350"
"2005","7","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3500"
"2005","7","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3500"
"2005","7","ProHuerta",
"2005","7","Programa de empleo comunitario",
"2005","7","Trabajo autogestionado",
"2005","7","Monotributo social",
"2005","7","Programa de recuperación productiva 1",
"2005","7","Jefes de hogar",
"2005","8","Pensiones no contributivas por invalidez con bonos","245"
"2005","8","Pensiones no contributivas por invalidez sin bonos","245"
"2005","8","Pensiones no contributivas por vejez con bonos","245"
"2005","8","Pensiones no contributivas por vejez sin bonos","245"
"2005","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","350"
"2005","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","350"
"2005","8","Prestaciones previsionales por moratoria previsional con bonos","350"
"2005","8","Prestaciones previsionales por moratoria previsional sin bonos","350"
"2005","8","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3500"
"2005","8","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3500"
"2005","8","ProHuerta",
"2005","8","Programa de empleo comunitario",
"2005","8","Trabajo autogestionado",
"2005","8","Monotributo social",
"2005","8","Programa de recuperación productiva 1",
"2005","8","Jefes de hogar",
"2005","9","Pensiones no contributivas por invalidez con bonos","245"
"2005","9","Pensiones no contributivas por invalidez sin bonos","245"
"2005","9","Pensiones no contributivas por vejez con bonos","245"
"2005","9","Pensiones no contributivas por vejez sin bonos","245"
"2005","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","350"
"2005","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","350"
"2005","9","Prestaciones previsionales por moratoria previsional con bonos","350"
"2005","9","Prestaciones previsionales por moratoria previsional sin bonos","350"
"2005","9","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3500"
"2005","9","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3500"
"2005","9","ProHuerta",
"2005","9","Programa de empleo comunitario",
"2005","9","Trabajo autogestionado",
"2005","9","Monotributo social",
"2005","9","Programa de recuperación productiva 1",
"2005","9","Jefes de hogar",
"2005","10","Pensiones no contributivas por invalidez con bonos","245"
"2005","10","Pensiones no contributivas por invalidez sin bonos","245"
"2005","10","Pensiones no contributivas por vejez con bonos","245"
"2005","10","Pensiones no contributivas por vejez sin bonos","245"
"2005","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","350"
"2005","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","350"
"2005","10","Prestaciones previsionales por moratoria previsional con bonos","350"
"2005","10","Prestaciones previsionales por moratoria previsional sin bonos","350"
"2005","10","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3500"
"2005","10","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3500"
"2005","10","ProHuerta",
"2005","10","Programa de empleo comunitario",
"2005","10","Trabajo autogestionado",
"2005","10","Monotributo social",
"2005","10","Programa de recuperación productiva 1",
"2005","10","Jefes de hogar",
"2005","11","Pensiones no contributivas por invalidez con bonos","245"
"2005","11","Pensiones no contributivas por invalidez sin bonos","245"
"2005","11","Pensiones no contributivas por vejez con bonos","245"
"2005","11","Pensiones no contributivas por vejez sin bonos","245"
"2005","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","350"
"2005","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","350"
"2005","11","Prestaciones previsionales por moratoria previsional con bonos","350"
"2005","11","Prestaciones previsionales por moratoria previsional sin bonos","350"
"2005","11","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","3500"
"2005","11","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","3500"
"2005","11","ProHuerta",
"2005","11","Programa de empleo comunitario",
"2005","11","Trabajo autogestionado",
"2005","11","Monotributo social",
"2005","11","Programa de recuperación productiva 1",
"2005","11","Jefes de hogar",
"2005","12","Pensiones no contributivas por invalidez con bonos","367.5"
