"anio","mes","programa_ejecucion_mensual","ejecucion_mensual_millones_pesos_constantes"
"2003","6","Jefes de hogar","371726.563667558"
"2003","7","Pensiones no contributivas por invalidez sin bonos","13802.0696277992"
"2003","7","Pensiones no contributivas por invalidez con bonos","13802.0696277992"
"2003","7","Pensiones no contributivas por vejez sin bonos","7149.35337576502"
"2003","7","Pensiones no contributivas por vejez con bonos","7149.35337576502"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14327.7923501534"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","14327.7923501534"
"2003","7","Jefes de hogar","371556.619040612"
"2003","8","Pensiones no contributivas por invalidez sin bonos","13792.7649844859"
"2003","8","Pensiones no contributivas por invalidez con bonos","13792.7649844859"
"2003","8","Pensiones no contributivas por vejez sin bonos","7147.83288376678"
"2003","8","Pensiones no contributivas por vejez con bonos","7147.83288376678"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14339.0991768807"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","14339.0991768807"
"2003","8","Jefes de hogar","366325.703217108"
"2003","9","Pensiones no contributivas por invalidez sin bonos","13854.822182982"
"2003","9","Pensiones no contributivas por invalidez con bonos","13854.822182982"
"2003","9","Pensiones no contributivas por vejez sin bonos","7144.79383917334"
"2003","9","Pensiones no contributivas por vejez con bonos","7144.79383917334"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14373.1280863366"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","14373.1280863366"
"2003","9","Jefes de hogar","366106.232590937"
"2003","10","Pensiones no contributivas por invalidez sin bonos","13820.1474868341"
"2003","10","Pensiones no contributivas por invalidez con bonos","13820.1474868341"
"2003","10","Pensiones no contributivas por vejez sin bonos","7103.01730598198"
"2003","10","Pensiones no contributivas por vejez con bonos","7103.01730598198"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14346.8678350593"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","14346.8678350593"
"2003","10","Jefes de hogar","363621.401921281"
"2003","11","Pensiones no contributivas por invalidez sin bonos","13813.9091782323"
"2003","11","Pensiones no contributivas por invalidez con bonos","13813.9091782323"
"2003","11","Pensiones no contributivas por vejez sin bonos","7085.54677852524"
"2003","11","Pensiones no contributivas por vejez con bonos","7085.54677852524"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14344.3792450696"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","14344.3792450696"
"2003","11","Jefes de hogar","230488.34822566"
"2003","12","Pensiones no contributivas por invalidez sin bonos","20682.6285945555"
"2003","12","Pensiones no contributivas por invalidez con bonos","20682.6285945555"
"2003","12","Pensiones no contributivas por vejez sin bonos","10605.9604479398"
"2003","12","Pensiones no contributivas por vejez con bonos","10605.9604479398"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","21496.9329584327"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","21496.9329584327"
"2003","12","Jefes de hogar","455849.555900579"
"2004","1","Pensiones no contributivas por invalidez sin bonos","14984.3771528192"
"2004","1","Pensiones no contributivas por invalidez con bonos","14984.3771528192"
"2004","1","Pensiones no contributivas por vejez sin bonos","9422.49411283535"
"2004","1","Pensiones no contributivas por vejez con bonos","9422.49411283535"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15601.0889162885"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","15601.0889162885"
"2004","1","Jefes de hogar","242420.186101245"
"2004","2","Pensiones no contributivas por invalidez sin bonos","15028.1007886708"
"2004","2","Pensiones no contributivas por invalidez con bonos","15028.1007886708"
"2004","2","Pensiones no contributivas por vejez sin bonos","9413.29117453622"
"2004","2","Pensiones no contributivas por vejez con bonos","9413.29117453622"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15622.9394200287"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","15622.9394200287"
"2004","2","Jefes de hogar","363014.975721456"
"2004","3","Pensiones no contributivas por invalidez sin bonos","14948.2152762175"
"2004","3","Pensiones no contributivas por invalidez con bonos","14948.2152762175"
"2004","3","Pensiones no contributivas por vejez sin bonos","9357.15088043011"
"2004","3","Pensiones no contributivas por vejez con bonos","9357.15088043011"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15557.8047592828"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","15557.8047592828"
"2004","3","Programa de empleo comunitario","33364.0368299952"
"2004","3","Jefes de hogar","301018.063025515"
"2004","4","Pensiones no contributivas por invalidez sin bonos","14939.2431362505"
"2004","4","Pensiones no contributivas por invalidez con bonos","14939.2431362505"
"2004","4","Pensiones no contributivas por vejez sin bonos","9278.01111846264"
"2004","4","Pensiones no contributivas por vejez con bonos","9278.01111846264"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15533.5702039927"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","15533.5702039927"
"2004","4","Programa de empleo comunitario","32525.1620664054"
"2004","4","Jefes de hogar","295684.683975384"
"2004","5","Pensiones no contributivas por invalidez sin bonos","15040.173898286"
"2004","5","Pensiones no contributivas por invalidez con bonos","15040.173898286"
"2004","5","Pensiones no contributivas por vejez sin bonos","9222.83770989762"
"2004","5","Pensiones no contributivas por vejez con bonos","9222.83770989762"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15650.0107091766"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","15650.0107091766"
"2004","5","Programa de empleo comunitario","32138.9677742729"
"2004","5","Jefes de hogar","294516.09204046"
"2004","6","Pensiones no contributivas por invalidez sin bonos","24595.4018082434"
"2004","6","Pensiones no contributivas por invalidez con bonos","24595.4018082434"
"2004","6","Pensiones no contributivas por vejez sin bonos","14883.3449637305"
"2004","6","Pensiones no contributivas por vejez con bonos","14883.3449637305"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","25869.6689880081"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","25869.6689880081"
"2004","6","Programa de empleo comunitario","31905.8055041331"
"2004","6","Jefes de hogar","280388.514341707"
"2004","7","Pensiones no contributivas por invalidez sin bonos","16774.0041118842"
"2004","7","Pensiones no contributivas por invalidez con bonos","16774.0041118842"
"2004","7","Pensiones no contributivas por vejez sin bonos","9876.64135160714"
"2004","7","Pensiones no contributivas por vejez con bonos","9876.64135160714"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","17568.673884636"
"2004","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","17568.673884636"
"2004","7","Programa de empleo comunitario","31560.7959009307"
"2004","7","Jefes de hogar","278051.651657474"
"2004","8","Pensiones no contributivas por invalidez sin bonos","16999.9040870203"
"2004","8","Pensiones no contributivas por invalidez con bonos","16999.9040870203"
"2004","8","Pensiones no contributivas por vejez sin bonos","9842.72385723424"
"2004","8","Pensiones no contributivas por vejez con bonos","9842.72385723424"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","17962.2311694885"
"2004","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","17962.2311694885"
"2004","8","Programa de empleo comunitario","31911.2184461887"
"2004","8","Jefes de hogar","268411.881362621"
"2004","9","Pensiones no contributivas por invalidez sin bonos","20837.4807131528"
"2004","9","Pensiones no contributivas por invalidez con bonos","20837.4807131528"
"2004","9","Pensiones no contributivas por vejez sin bonos","11586.5048606856"
"2004","9","Pensiones no contributivas por vejez con bonos","11586.5048606856"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","21848.5462601726"
"2004","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","21848.5462601726"
"2004","9","Programa de empleo comunitario","31799.0905537329"
"2004","9","Jefes de hogar","264842.33071252"
"2004","10","Pensiones no contributivas por invalidez sin bonos","21389.8935820709"
"2004","10","Pensiones no contributivas por invalidez con bonos","21389.8935820709"
"2004","10","Pensiones no contributivas por vejez sin bonos","11540.9434246165"
"2004","10","Pensiones no contributivas por vejez con bonos","11540.9434246165"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","22674.6123016036"
"2004","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","22674.6123016036"
"2004","10","Programa de empleo comunitario","32446.469333996"
"2004","10","Jefes de hogar","263118.370259347"
"2004","11","Pensiones no contributivas por invalidez sin bonos","22873.1111445758"
"2004","11","Pensiones no contributivas por invalidez con bonos","22873.1111445758"
"2004","11","Pensiones no contributivas por vejez sin bonos","11540.9434246165"
"2004","11","Pensiones no contributivas por vejez con bonos","11540.9434246165"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","23700.910858962"
"2004","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","23700.910858962"
"2004","11","Programa de empleo comunitario","33342.0919328536"
"2004","11","Jefes de hogar","252169.812591732"
"2004","12","Pensiones no contributivas por invalidez sin bonos","38124.3825116331"
"2004","12","Pensiones no contributivas por invalidez con bonos","61069.7277762859"
"2004","12","Pensiones no contributivas por vejez sin bonos","17167.2486922947"
"2004","12","Pensiones no contributivas por vejez con bonos","27543.9571447294"
"2004","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","38277.5946335846"
"2004","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","54663.4447850605"
"2004","12","Programa de empleo comunitario","51448.2702419791"
"2004","12","Jefes de hogar","421831.636833018"
"2005","1","Pensiones no contributivas por invalidez sin bonos","25252.2767819634"
"2005","1","Pensiones no contributivas por invalidez con bonos","25252.2767819634"
"2005","1","Pensiones no contributivas por vejez sin bonos","15871.2813307366"
"2005","1","Pensiones no contributivas por vejez con bonos","15871.2813307366"
"2005","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","25425.4291765348"
"2005","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","25425.4291765348"
"2005","1","Programa de empleo comunitario","32872.4616108131"
"2005","1","Jefes de hogar","182840.340030606"
"2005","2","Pensiones no contributivas por invalidez sin bonos","25520.6302403387"
"2005","2","Pensiones no contributivas por invalidez con bonos","25520.6302403387"
"2005","2","Pensiones no contributivas por vejez sin bonos","15721.7841001374"
"2005","2","Pensiones no contributivas por vejez con bonos","15721.7841001374"
"2005","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","25458.4025320765"
"2005","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","25458.4025320765"
"2005","2","Programa de empleo comunitario","32780.0555190606"
"2005","2","Jefes de hogar","312136.711953697"
"2005","3","Pensiones no contributivas por invalidez sin bonos","25549.2239364936"
"2005","3","Pensiones no contributivas por invalidez con bonos","25549.2239364936"
"2005","3","Pensiones no contributivas por vejez sin bonos","15483.0455271701"
"2005","3","Pensiones no contributivas por vejez con bonos","15483.0455271701"
"2005","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","25339.8331766697"
"2005","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","25339.8331766697"
"2005","3","Programa de empleo comunitario","33184.9928205162"
"2005","3","Jefes de hogar","240971.065776852"
"2005","4","Pensiones no contributivas por invalidez sin bonos","25779.8265597395"
"2005","4","Pensiones no contributivas por invalidez con bonos","25779.8265597395"
"2005","4","Pensiones no contributivas por vejez sin bonos","15407.6665118949"
"2005","4","Pensiones no contributivas por vejez con bonos","15407.6665118949"
"2005","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","25412.0994391299"
"2005","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","25412.0994391299"
"2005","4","Programa de empleo comunitario","32546.3134965875"
"2005","4","Jefes de hogar","237797.763285918"
"2005","5","Pensiones no contributivas por invalidez sin bonos","26034.7015900136"
"2005","5","Pensiones no contributivas por invalidez con bonos","26034.7015900136"
"2005","5","Pensiones no contributivas por vejez sin bonos","15315.6717712356"
"2005","5","Pensiones no contributivas por vejez con bonos","15315.6717712356"
"2005","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","25664.0970658618"
"2005","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","25664.0970658618"
"2005","5","Programa de empleo comunitario","33161.7035108938"
"2005","5","Jefes de hogar","234044.259083398"
"2005","6","Pensiones no contributivas por invalidez sin bonos","38975.9586567937"
"2005","6","Pensiones no contributivas por invalidez con bonos","38975.9586567937"
"2005","6","Pensiones no contributivas por vejez sin bonos","22764.6185668677"
"2005","6","Pensiones no contributivas por vejez con bonos","22764.6185668677"
"2005","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","38425.2860438823"
"2005","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","38425.2860438823"
"2005","6","Programa de empleo comunitario","33552.979529162"
"2005","6","Jefes de hogar","230143.02100553"
"2005","7","Pensiones no contributivas por invalidez sin bonos","29258.8607970808"
"2005","7","Pensiones no contributivas por invalidez con bonos","29258.8607970808"
"2005","7","Pensiones no contributivas por vejez sin bonos","17074.7187154655"
"2005","7","Pensiones no contributivas por vejez con bonos","17074.7187154655"
"2005","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","28888.4116358709"
"2005","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","28888.4116358709"
"2005","7","Programa de empleo comunitario","33252.4186507364"
"2005","7","Jefes de hogar","224265.009288695"
"2005","8","Pensiones no contributivas por invalidez sin bonos","29159.3423467728"
"2005","8","Pensiones no contributivas por invalidez con bonos","29159.3423467728"
"2005","8","Pensiones no contributivas por vejez sin bonos","17000.2939485186"
"2005","8","Pensiones no contributivas por vejez con bonos","17000.2939485186"
"2005","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","28872.432121205"
"2005","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","28872.432121205"
"2005","8","Programa de empleo comunitario","33208.6788623374"
"2005","8","Jefes de hogar","221823.869046399"
"2005","9","Pensiones no contributivas por invalidez sin bonos","29177.7451137458"
"2005","9","Pensiones no contributivas por invalidez con bonos","29177.7451137458"
"2005","9","Pensiones no contributivas por vejez sin bonos","16804.2835200813"
"2005","9","Pensiones no contributivas por vejez con bonos","16804.2835200813"
"2005","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","28661.1300846922"
"2005","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","28661.1300846922"
"2005","9","Programa de empleo comunitario","33143.2816324859"
"2005","9","Jefes de hogar","239403.751455165"
"2005","10","Pensiones no contributivas por invalidez sin bonos","29260.8635296923"
"2005","10","Pensiones no contributivas por invalidez con bonos","29260.8635296923"
"2005","10","Pensiones no contributivas por vejez sin bonos","16674.7629389667"
"2005","10","Pensiones no contributivas por vejez con bonos","16674.7629389667"
"2005","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","28822.2407950564"
"2005","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","28822.2407950564"
"2005","10","Programa de empleo comunitario","35078.5720501419"
"2005","10","Jefes de hogar","214669.107901403"
"2005","11","Pensiones no contributivas por invalidez sin bonos","29583.8983740958"
"2005","11","Pensiones no contributivas por invalidez con bonos","29583.8983740958"
"2005","11","Pensiones no contributivas por vejez sin bonos","16475.3562665052"
"2005","11","Pensiones no contributivas por vejez con bonos","16475.3562665052"
"2005","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","29117.8042302836"
"2005","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","29117.8042302836"
"2005","11","Programa de empleo comunitario","33903.7865150645"
"2005","11","Jefes de hogar","25023.5420691147"
"2005","12","Pensiones no contributivas por invalidez sin bonos","44880.6982670282"
"2005","12","Pensiones no contributivas por invalidez con bonos","44880.6982670282"
"2005","12","Pensiones no contributivas por vejez sin bonos","24441.1110439029"
"2005","12","Pensiones no contributivas por vejez con bonos","24441.1110439029"
"2005","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","43981.106017938"
"2005","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","43981.106017938"
"2005","12","Programa de empleo comunitario","33424.4458749234"
"2005","12","Jefes de hogar","352144.936265122"
"2006","1","Pensiones no contributivas por invalidez sin bonos","30185.8801296917"
"2006","1","Pensiones no contributivas por invalidez con bonos","30185.8801296917"
"2006","1","Pensiones no contributivas por vejez sin bonos","19612.6886551258"
"2006","1","Pensiones no contributivas por vejez con bonos","19612.6886551258"
"2006","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","29815.5951481476"
"2006","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","29815.5951481476"
"2006","1","Programa de empleo comunitario","31016.2537327863"
"2006","1","Jefes de hogar","205452.196367223"
"2006","2","Pensiones no contributivas por invalidez sin bonos","30890.7266763739"
"2006","2","Pensiones no contributivas por invalidez con bonos","30890.7266763739"
"2006","2","Pensiones no contributivas por vejez sin bonos","19535.5090932885"
"2006","2","Pensiones no contributivas por vejez con bonos","19535.5090932885"
"2006","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","30706.7961679601"
"2006","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","30706.7961679601"
"2006","2","Programa de empleo comunitario","30789.0755714878"
"2006","2","Jefes de hogar","200401.577565987"
"2006","3","Pensiones no contributivas por invalidez sin bonos","31148.5550428984"
"2006","3","Pensiones no contributivas por invalidez con bonos","31148.5550428984"
"2006","3","Pensiones no contributivas por vejez sin bonos","19303.1562861405"
"2006","3","Pensiones no contributivas por vejez con bonos","19303.1562861405"
"2006","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","31278.1671068998"
"2006","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","31278.1671068998"
"2006","3","Programa de empleo comunitario","30582.6308581604"
"2006","3","Jefes de hogar","181971.944035189"
"2006","4","Pensiones no contributivas por invalidez sin bonos","31831.11627675"
"2006","4","Pensiones no contributivas por invalidez con bonos","31831.11627675"
"2006","4","Pensiones no contributivas por vejez sin bonos","19117.3177671325"
"2006","4","Pensiones no contributivas por vejez con bonos","19117.3177671325"
"2006","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","31789.597945649"
"2006","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","31789.597945649"
"2006","4","Programa de empleo comunitario","30435.3938917099"
"2006","4","Jefes de hogar","186199.193618162"
"2006","5","Pensiones no contributivas por invalidez sin bonos","32343.7144894664"
"2006","5","Pensiones no contributivas por invalidez con bonos","32343.7144894664"
"2006","5","Pensiones no contributivas por vejez sin bonos","19027.8787628671"
"2006","5","Pensiones no contributivas por vejez con bonos","19027.8787628671"
"2006","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","32143.7290336437"
"2006","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","32143.7290336437"
"2006","5","Programa de empleo comunitario","30195.470677297"
"2006","5","Jefes de hogar","181331.218859735"
"2006","6","Pensiones no contributivas por invalidez sin bonos","66398.1503004139"
"2006","6","Pensiones no contributivas por invalidez con bonos","66398.1503004139"
"2006","6","Pensiones no contributivas por vejez sin bonos","38142.6866114927"
